ID	lat	long	limesobject	limescategory	limestown	limestownpard
1	50.189704	8.203443	Zugmantel	Kastell	Taunusstein	Orlen
2	50.205588	8.333088	Alteburg-Heftrich	Kastell	Idstein	Heftrich
3	50.227149	8.444662	Feldberg	Kastell	Schmitten	Niederreifenberg
4	50.271522	8.566659	Saalburg	Kastell	Bad Homburg	???
5	50.313041	8.635664	Kapersburg	Kastell	Rosbach	Ober-Rosbach
6	50.341669	8.753502	Friedberg	Kastell	Friedberg	???
7	50.487393	8.784294	Arnsburg	Kastell	Lich	Muschenheim
8	50.080342	8.980408	Gross-Krotzenburg	Kastell	Großkrotzenburg	???
9	50.222685	8.98419	Marköbel	Kastell	Hammersbach	Marköbel
10	49.801302	9.144737	Wörth	Kastell	Wörth a.Main	Stadt Wörth a.Main
11	49.427522	9.423646	Osterburken-Kohortenkastell	Kastell	Osterburken	???
12	49.426728	9.424439	Osterburken-Annexkastell	Kastell	Osterburken	???
13	49.310942	9.469169	Jagsthausen	Kastell	Jagsthausen	???
14	49.081095	9.556183	Mainhardt	Kastell	Mainhardt	???
15	48.871517	9.642325	Welzheim-Ost	Kastell	Welzheim	???
16	48.798115	9.688578	Lorch	Kastell	Lorch	???
17	48.786795	9.777356	Schirenhof	Kastell	Schwäbisch Gmünd	???
18	48.819042	9.923602	Unterböbingen	Kastell	Böbingen	Unterböbingen
19	48.835827	10.085005	Aalen	Kastell	Aalen	???
20	48.909705	10.145006	Rainau-Buch	Kastell	Rainau	Buch
21	48.983138	10.285661	Halheim	Kastell	Ellwangen	Pfahlheim
22	49.102804	10.578748	Dambach	Kastell	Ehingen	Dambach | Dennenlohe
23	49.057194	10.704499	Gnotzheim	Kastell	Gnotzheim	???
24	49.030803	10.9624	Weissenburg	Kastell	Weißenburg	Stadt Weißenburg i. Bay.
25	49.06389	10.987994	Ellingen	Kastell	Ellingen	???
26	49.0193	11.0765	Burgsalach	Kastell	Burgsalach	???
27	48.883931	11.263661	Pfünz	Kastell	Walting	Pfünz
28	48.946155	11.360479	Böhming	Kastell	Kipfenberg	Böhming
29	48.818523	11.682227	Pförring	Kastell	Pförring	Teilgemeinde, Pförring
30	48.849843	11.770968	Eining Kohortenkastell	Kastell	Neustadt a.d.Donau	Eining
31	48.859567	11.776493	Eining Unterfeld	Kastell	Neustadt a.d.Donau	Eining
32	50.436637	7.469069	Heddesdorf	Kastell	Neuwied	Heddesdorf
33	50.467026	7.471947	Niederbieber	Kastell	Neuwied	Niederbieber-Segendorf
34	50.368855	7.627335	Niederberg	Kastell	Koblenz	Niederberg
35	50.335923	7713	Bad Ems	Kastell	Bad Ems	???
36	50.375325	7.745646	Arzbach	Kastell	Arzbach	???
37	50.240273	7.810763	Marienfels	Kastell	Marienfels	???
38	50.24665	7.827849	Hunzel	Kastell	Hunzel	???
39	50.214881	7.947468	Holzhausen	Kastell	Holzhausen a.d. Haide	???
40	50.165468	8.016058	Kemel	Kastell	Heidenrod	Kemel
41	50.365103	8.644794	Langenhain	Kastell	Ober-Mörlen	Langenhain-Ziegenberg
42	50.439681	8.665183	Butzbach	Kastell	Butzbach	???
43	50.323804	8.876774	Ober-Florstadt	Kastell	Florstadt	Ober-Florstadt
44	50.393087	8.883176	Echzell	Kastell	Echzell	???
