name	typ	typ2	lat	long
Kastell Bulci	Kastell	Kohortenkastell (?)	46.006539	22.112283
Kastell Aradul Nou	Kastell	Kohortenkastell (?)	46.146819	21.315097
Kastell Sânnicolau Mare	Kastell	Kohortenkastell (?)	46.072222	20.629444
Kastell Cenad	Kastell	Kohortenkastell (?)	46.138106	20.585819
Kastell Szeged	Kastell	Kohortenkastell (?)	46.253697	20.145953
Kastell Banatska Palanka	Kastell	Kohortenkastell / Alenkastell	44.84500	21.331111
Kastell Dupljaja	Kastell	Auxiliarkastell	44.927103	21.275078
Kastell Grebenac	Kastell	Auxiliarkastell	44.897786	21.232794
Kastell Vărădia	Kastell	Kohortenkastell	45.079397	21.551161
Kastell Vršac	Kastell	Vexillationskastell /  Kohortenkastell /  Alenkastell	45.122669	21.300194
Kastell Surducul Mare	Kastell	???	45.26500	21.587219
Kastell Aizis	Kastell	???	45.486656	21.847883
Kastell Orșova (Dierna)	Kastell	???	44.7382	22.4076
Kastell Mehadia (Praetorium)	Kastell	???	44.9229	22.3522
Kastell Teregova (Ad Pannonios)	Kastell	???	45.168611	22.306831
Kastell Zăvoi (Acmonia ?)	Kastell	???	45.525278	22.410833
Kastell Abrud (Alburnus Maior)	Kastell	???	46.272222	23.068611
Kastell Bologa (Resculum)	Kastell	???	46.885694	22.884611
Kastell Buciumi	Kastell	Kohortenkastell	47.048264	23.044569
Kastell Romanasi (Largiana)	Kastell	Kohortenkastell	47.113403	23.181678
Kastell Romita	Kastell	Kohortenkastell	47.106944	23.172444
Kastelle von Porolissum	Kastell	Auxiliarkastelle	47.179167	23.157319
Kastell Tihău	Kastell	Kohortenkastell	47.227733	23.327689
Kastell Căşeiu (Samum)	Kastell	???	47.186222	23.837639
Kastell Ilişua (Arcobara)	Kastell	???	47.210528	24.095361
Kastell Livezile	Kastell	???	47.186869	24.57075
Kastell Orheiul Bistriţei	Kastell	???	47.096014	24.592319
Kastell Brâncoveneşti	Kastell	???	46.861514	24.766042
Kastell Călugăreni	Kastell	Kohortenkastell	46.628978	24.877311
Kastell Sarateni	Kastell	???	46.562222	25.008889
Kastell Inlăceni	Kastell	Kohortenkastell	46.431319	25.121806
Kastell Odorheiul Secuiesc	Kastell	???	46.3131	25.3002
Kastell Sânpaul	Kastell	???	46.194833	25.379472
Kastell Olteni	Kastell	Kohortenkastell	45.970939	25.849619
Kastell Brețcu 	Kastell	Kohortenkastell	46.050994	26.312836
Kastell Borosneu Mare	Kastell	???	45.843861	26.016986
Kastell Comalău	Kastell	???	45.844172	25.900222
Kastell Râșnov 	Kastell	Kohortenkastell	45.618708	25.441581
Kastell Hoghiz	Kastell	Auxiliarkastell	45.983367	25.300011
Kastell Cincsor	Kastell	???	45.842519	24.866611
Kastell Feldioara	Kastell	Kohortenkastell	45.816419	25.591561
Kastell Boiţa (Caput Stenarum) 	Kastell	???	45.635769	24.266011
Kastell Flămănda (Poiana)	Kastell	???	43.7345	24.983333
Kastell Putineiu	Kastell	???	43.897806	24.965361
Kastell Băneasa I	Kastell	???	43.937806	24.96525
Kastell Băneasa II	Kastell	???	43.935889	24.961889
Kastell Roșiorii de Vede	Kastell	???	44.074472	24.947028
Kastell Valea Urluii	Kastell	???	44.061333	24.937389
Kastell Gresia	Kastell	???	44.172583	24.917722
Kastell Ghioca	Kastell	???	44.307778	24.761056
Kastell Urluieni I	Kastell	???	44.485833	24.761417
Kastell Urluieni II	Kastell	???	44.484583	24.762111
Kastell Fâlfani	Kastell	???	44.603278	24.785111
Kastell Săpata de Jos I	Kastell	???	44.707333	24.763556
Kastell Săpata de Jos II	Kastell	???	44.707917	24.763694
Kastell Albota	Kastell	???	44.771389	24.8375
Kastell Purcăreni	Kastell	???	44.958083	24.8945
Kastell Câmpulung Muscel I	Kastell	???	45.22075	25.012472
Kastell Câmpulung Muscel II	Kastell	???	45.22100	25.012694
Kastell Voineşti	Kastell	???	45.297833	25.076083
Kastell Rucăr	Kastell	???	45.398444	25.178583
Kastell Islaz-Verdea	Kastell	???	43.710278	24.762222
