name	typ	lat	long
Kastell Iatrus	Kastell	43.631667	25.563056
Kastell Sucidava	Kastell	43.764422	24.459131
Kastell Heracleia	Kastell	44.338056	28.033611
Kastell Capidava	Kastell	44.493789	28.090375
Dinogetia	Kastell	45.379167	28.138694
Dinogetia	Kastell	45.379167	28.138694
Kastell Noviodunum	Kastell	45.270525	28.491914
Kastell Aegyssus	Kastell	45.179781	28.806361
Kastell Bononia	Kastell	43.993222	22.8759
Castra Martis	Kastell	43.888889	22.522222
Kastell Almus	Kastell	43.816667	23.233333
Kastell Augustae (Hărlec)	Kastell	43.783333	23.733333
Kastell Sexaginta Prista	Kastell	43.856389	25.970556
Kastell Transmarisca	Kastell	44.00000	26.6
Legionslager Viminatium	Legionslager	44.732778	21.230556
Legionslager Troesmis	Legionslager	45.143236	28.195097
Legionslager Ratiaria	Legionslager	43.816667	22.916667
Legionslager Oescus	Legionslager	43.7	24.483333
Legionslager Novae	Legionslager	43.612889	25.394278
Legionslager Abrittus	Legionslager	43.521111	26.551667
Legionslager Durostorum	Legionslager	44.116667	27.266667
