name	typ	lat	long
Kastell Boiotro	Kastell	48.569722	13.462222
Kastell Boiodurum 	Kastell	48.57125	13.47585
Burgus Passau-Haibach	Kastell	48.574444	13.498611
Kleinkastell Sankt Marienkirchen	Kastell	48.378611	13.428333
Militärziegelei Sankt Marienkirchen	Kastell	48.38	13.423611
Kleinkastell Eberranna	Kastell	48.471506	13.773667
Kleinkastell Schlögen	Kastell	48.416667	13.916667
Wachturm Kobling-Rossgraben	Kastell	48.416667	13.916667
Wachturm Kobling See	Kastell	48.416667	13.916667
Kastell Eferding	Kastell	48.316667	14.033333
Burgus Hirschleitengraben	Kastell	48.323889	14.190556
Wachturm Freinberg 	Kastell	48.323889	14.190556
Kastell Lentia	Kastell	48.303056	14.290556
Lauriacum	Kastell	48.216667	14.475000
Legionslager Albing	Kastell	48.333333	15.733056
Kastell Wallsee	Kastell	48.166667	14.716667
Locus Felicis	Kastell	48.095556	14.798056
Burgus Wallsee-Nordhang	Kastell	48.166667	14.716667
Burgus Sommerau	Kastell	48.166667	14.716667
Burgus Au-Rotte Hof	Kastell	48.166667	14.716667
Burgus Ybbs	Kastell	48.166667	15.066667
Burgus Neumarkt	Kastell	48.166667	15.066667
Kastell Arelape	Kastell	48.2	15.2
Wachturm Säusenstein	Kastell	48.2	15.116667
Wachturm Sarling	Kastell	48.2	15.116667
Kastell Melk	Kastell	48.228333	15.331111
Burgus Melk-Spielberg	Kastell	48.228333	15.331111
Burgus Aggsbach-Dorf/Blashauskapelle	Kastell	48.228333	15.331111
Burgus Bacharnsdorf	Kastell	48.369328	15.445069
Burgus St. Lorenz	Kastell	48.369328	15.445069
Burgus Rossatz	Kastell	48.369328	15.445069
Kastell Favianis	Kastell	48.39375	15.577639
Burgus Hollenburg	Kastell	48.38	15.680278
Kastell Augustianis	Kastell	48.333333	15.733056
Wachturm Maria Ponsee Süd	Kastell	48.3425	15.913889
Wachturm Maria Ponsee West	Kastell	48.3425	15.913889
Kastell Zwentendorf	Kastell	48.3425	15.913889
Kastell Comagena	Kastell	48.331056	16.052083
Wachturm/Straßenstation Maria Gugging	Kastell	48.3125	16.249167
Kastell Cannabiaca	Kastell	48.328972	16.177083
