name	typ	lat	long
Burgus Brigetio 1	Burgus	47.739419	18.21015
Burgus Brigetio 2	Burgus	47.73245	18.240653
Burgus Brigetio 4	Burgus	47.744394	18.225661
Burgus Ediavum 1	Burgus	47.726564	18.291683
Burgus Ediavum 3	Burgus	47.7402	18.390292
Burgus Ediavum 4	Burgus	47.739661	18.39415
Burgus Ediavum 5	Burgus	47.7445	18.408919
Burgus Ediavum 6	Burgus	47.758506	18.4703
Burgus Crumerum 1	Burgus	47.755903	18.610825
Burgus Crumerum 2	Burgus	47.749731	18.684311
Burgus Crumerum 3	Burgus	47.7753	18.709372
Burgus Crumerum 4	Burgus	47.791814	18.732317
Burgus Selva 1	Burgus	47.810239	18.742069
Burgus Selva 2	Burgus	47.813694	18.750472
Burgus Selva 3	Burgus	47.815736	18.764281
Burgus Selva 4	Burgus	47.816572	18.779731
Burgus Selva 5	Burgus	47.814122	18.794089
Burgus Selva 30	Burgus	47.821422	18.814597
Burgus Selva 6	Burgus	47.814486	18.79965
Burgus Selva 7	Burgus	47.814836	18.806897
Burgus Selva 8	Burgus	47.8136	18.811889
Burgus Selva 8	Burgus	47.8136	18.811889
Burgus Selva 9	Burgus	47.812089	18.83200
Burgus Selva 10	Burgus	47.811489	18.835539
Burgus Selva 11	Burgus	47.81045	18.851911
Burgus Szeb (Burgus Selva 34)	Burgus	47.817361	18.853278
Burgus Pilismarót–Malompatak (Burgus Selva 19)	Burgus	47.790583	18.901722
Burgus Selva 35	Burgus	47.766053	18.953569
Burgus Selva 24	Burgus	47.775703	18.965981
Burgus Selva 28	Burgus	47.804361	18.998111
Burgus Selva 36	Burgus	47.814894	19.001581
Burgus Selva 37	Burgus	47.813414	19.050692
Burgus Verőcemaros-Dunamező (Burgus Selva 38)	Burgus	47.818556	19.051528
Burgus Tahitótfalu-Balhavár (Burgus Cirpi 5)	Burgus	47.762472	19.126528
Burgus Leányfalu (Burgus Cirpi 2)	Burgus	47.717139	19.0885
Burgus Szentendre-Hunka (Burgus Cirpi 3)	Burgus	47.689528	19.083472
Burgus Szigetmonoster-Herány (Burgus Ulcisia 8)	Burgus	47.658417	19.112417
Burgus Dunakeszi (Burgus Ulcisia 9)	Burgus	47.658083	19.119833
Burgus Szentendre-Dera (Burgus Ulcisia 1)	Burgus	47.641333	19.079889
Burgus Budakalász-Luppa csárda (Burgus Ulcisia 2)	Burgus	47.622306	19.085167
Burgus Matrica 2	Burgus	47.265386	18.914083
Burgus Matrica 4	Burgus	47.181944	18.867778
Burgus Matrica 5	Burgus	47.166667	18.869444
Burgus Annamatia 2	Burgus	46.8496	18.911617
Burgus Annamatia 3	Burgus	46.827744	18.910297
Burgus Annamatia 5	Burgus	46.808728	18.927783
Burgus Bölcske (Burgus Annamatia 12)	Burgus	46.741556	18.984194
Burgus Annamatia 6	Burgus	46.748492	18.886525
Burgus Annamatia 7 (Burgus Léanyvár)	Burgus	46.73745	18.88135
Burgus Annamatia 8	Burgus	46.721611	18.884239
Burgus Annamatia 16	Burgus	46.697303	18.886456
Burgus Annamatia 11	Burgus	46.688792	18.892464
Burgus Annamatia 9	Burgus	46.684581	18.883219
Burgus Dunakömlőd (Burgus Lussenium 1)	Burgus	46.637694	18.885944
Burgus Lussenium 3	Burgus	46.554789	18.820011
Burgus Lussenium 12	Burgus	46.544861	18.81475
Burgus Lussenium 6	Burgus	46.507319	18.792839
Burgus Lussenium 9	Burgus	46.490811	18.793631
Burgus Lussenium 10	Burgus	46.464461	18.80115
Burgus contra Florentiam (Burgus Lugio 1)	Burgus	46.087611	18.769056
Burgus Lugio 5	Burgus	46.063989	18.73745
Burgus Altinum 1	Burgus	45.928017	18.659958
Burgus Bač-Bács	Burgus	45.345583	19.233972
Binnenfestung Ságvár (Tricciana)	Burgus	46.834925	18.1044
Binnenfestung Keszthely-Fenékpuszta 	Burgus	46.710131	17.246364
Binnenfestung Lébény-Barátföldpuszta (Quadrata)	Burgus	47.777694	17.416317
Kastell Iža-Leányvár	Kastell	47.744806	18.198906
Kastell Iža-Leányvár	Kastell	47.744806	18.198906
Erdlager Iža-Leányvár 1	Kastell	47.744967	18.183136
Erdlager Iža-Leányvár 2	Kastell	47.745108	18.189103
Erdlager Iža-Leányvár 4	Kastell	47.745078	18.192594
Erdlager Iža-Leányvár 3	Kastell	47.746794	18.190125
Erdlager Iža-Leányvár 5	Kastell	47.747486	18.194897
Kastell Almásfüzitő	Kastell	47.727619	18.277269
Kastell Almásfüzitő	Kastell	47.727619	18.277269
Kastell Almásfüzitő	Kastell	47.727619	18.277269
Kastell Crumerum	Kastell	47.759389	18.536417
Kastell Tókód	Kastell	47.726972	18.676611
Kastell Esztergóm	Kastell	47.799039	18.736711
Kastell Esztergóm–Hideglelőskereszt	Kastell	47.812831	18.821094
Castra ad Herculem	Kastell	47.781722	18.879306
Kastell Visegrád–Gizellamajor	Kastell	47.760917	18.930583
Kastell Visegrád–Sibrik	Kastell	47.798194	18.980083
Kastell Visegrád–Sibrik	Kastell	47.798319	18.979342
Kastell Kiseroszi	Kastell	47.809639	19.001056
Kastell Dunabogdány	Kastell	47.770722	19.075194
Kastell Dunabogdány	Kastell	47.770722	19.075194
Kastell Szentendre	Kastell	47.66500	19.07300
Kastell Göd-Bócsaújtelep	Kastell	47.682972	19.163194
Transaquincum	Kastell	47.539333	19.062361
Contra Aquincum	Kastell	47.492694	19.051417
Kastell Budapest-Albertfalva	Kastell	47.439222	19.046778
Kastell CampEna	Kastell	47.390806	18.984639
Kastell Matrica	Kastell	47.300639	18.91800
Adóny-Iváncsa (Vetus Salina. Nordkastell)	Kastell	47.140581	18.858003
Kastell Vetus Salina	Kastell	47.12975	18.865083
Kastell Intercisa	Kastell	46.97625	18.936778
Kastell Annamatia	Kastell	46.868278	18.921472
Kastell Lussenium	Kastell	46.65575	18.882056
Kastell Alisca	Kastell	46.325917	18.767917
Kastell Ad Statuas (Várdomb)	Kastell	46.248833	18.68675
Kastell Dunaszekcső	Kastell	46.091147	18.761297
Kastell Mehács-Kölked	Kastell	45.956111	18.683917
Kastell Ad Militare	Kastell	45.854444	18.848972
Kastell Ad NEvas	Kastell	45.801861	18.80675
Kastell Mursa	Kastell	45.5532	18.6909
Kastell Teutoburgium	Kastell	45.500444	19.00425
Kastell Cernacum	Kastell	45.296944	19.099083
Kastell Cuccium	Kastell	45.223972	19.375833
Brigetio – Lager XIII–XIV	Legionslager	47.718931	18.244319
Brigetio – Lager XV	Legionslager	47.724411	18.244119
Brigetio – Lager XII. XXXIII	Legionslager	47.714019	18.23495
Brigetio – Lager XXXIV	Legionslager	47.720719	18.256206
Brigetio – Lager XXIX	Legionslager	47.6859	18.154081
Brigetio – Lager XXVIII	Legionslager	47.689289	18.155719
Brigetio – Lager XXVII	Legionslager	47.691469	18.122669
Brigetio – Lager XXVI	Legionslager	47.696364	18.123689
Brigetio – Lager XXV	Legionslager	47.698119	18.126431
Brigetio – Lager XXIV	Legionslager	47.699539	18.155331
Brigetio – Lager XXII–XXIII	Legionslager	47.704269	18.167011
Brigetio – Lager XVIII	Legionslager	47.6759	18.16435
Brigetio – Lager XVII	Legionslager	47.694386	18.175536
Brigetio – Lager VII	Legionslager	47.708739	18.177914
Brigetio – Lager VI	Legionslager	47.707181	18.176869
Brigetio – Lager XXI	Legionslager	47.707489	18.135219
Brigetio – Lager XX	Legionslager	47.711711	18.148461
Brigetio – Lager XIX	Legionslager	47.708844	18.153681
Brigetio – Lager XXX–XXXI	Legionslager	47.729669	18.093139
Brigetio – Lager XXXII	Legionslager	47.723231	18.221419
Brigetio – Lager VIII–XI	Legionslager	47.720664	18.221686
