name	typ	typ2	lat	long
Burgus Ad Flexum 4	Burgus	Ländeburgus (?)	47.867072	17.287633
Burgus Ad Flexum 1	Burgus	Burgus	47.826922	17.330497
Burgus Quadrata 3	Burgus	Burgus ?	47.741647	17.489183
Burgus Quadrata 5	Burgus	n/a	47.722336	17.692856
Burgus Arrabona 4	Burgus	Burgus	47.733458	17.828917
Burgus Arrabona 6	Burgus	Burgus	47.734761	17.854239
Burgus Arrabona 7	Burgus	Burgus	47.734289	17.894522
Burgus Arrabona 10	Burgus	Burgus	47.734186	17.806803
Burgus Arrabona 11	Burgus	Mansio	47.740961	17.941158
Burgus Ad Statuas 2	Burgus	Burgus	47.739425	17.963094
Burgus Ad Mures 1	Burgus	Burgus	47.747883	18.019606
Burgus Ad Mures 4	Burgus	Burgus	47.750489	18.056211
Kastell Ad Mures	Kastell	Kastell	47.74252	17.98645
Kastell Klosterneuburg	Kastell	Kohortenkastell	48.30500	16.32500
Kastell Vindobona	Kastell	Alenkastell	48.210833	16.370278
Kastell Ala Nova	Kastell	Alenkastell	48.143917	16.469908
Kastell Aequinoctium	Kastell	Reiterkastell	48.116667	16.616667
Kastelle von Carnuntum	Kastell	Auxiliarkastelle	48.116111	16.858333
Kleinkastell Stopfenreuth	Kastell	Brückenkopfkastell (?)	48.183333	16.883333
Kastell Ad Flexum	Kastell	Auxiliarkastell	48.055986	17.149528
Kastell Ad Flexum	Kastell	Kohortenkastell	47.869767	17.277828
Kleinkastell Ad Flexum	Kastell	Kleinkastell	47.793033	17.414297
Kastell Quadrata	Kastell	Alenkastell	47.777689	17.416303
Holz-Erde-Lager Quadrata	Kastell	temporäres Lager	47.753331	17.457581
Kastell Arrabona	Kastell	Kohortenkastell	47.689028	17.631467
Holz-Erde-Lager Győr	Kastell	Holz-Erde-Lager	47.686861	17.704606
Holz-Erde-Lager Tápszentmiklós	Kastell	temporäres Holz-Erde-Lager	47.493881	17.849411
Kastell Ad Statuas (Ács-Vaspuszta)	Kastell	Kohortenkastell	47.736167	17.899833
Legionslager Vindobona	Legionslager	Legionslager	48.210833	16.370278
Legionslager/Kastelle Carnuntum	Legionslager	Legionslager	48.116111	16.858333
Burgus Arrabona 2	Wachturm	a) Holzturm ? b) Burgus	47.733908	17.761678
Wachturm Fischamend West	Wachturm	Wachturm	48.116667	16.616667
Wachturm Fischamend Ost I	Wachturm	Wachturm	48.116667	16.616667
Wachturm Fischamend Ost II	Wachturm	Wachturm	48.116667	16.616667
Wachtürme Maria Ellend (Alte Kirche)	Wachturm	Wachturm ?	48.1	16.683333
Wachtürme Maria Ellend (Ellender Hof) I	Wachturm	Wachturm	48.1	16.683333
Wachtürme Maria Ellend (Ellender Hof) II	Wachturm	Wachturm und Kontrollposten 	48.1	16.683333
Wachturm Regelsbrunn	Wachturm	Wachturm	48.066667	16.766667
Wachturm Scharndorf I	Wachturm	Wachturm	48.066667	16.766667
Wachturm Scharndorf II ( NÖ-Signalturm )	Wachturm	Wachturm	48.0833330	16.7833330
Wachturm Rieden in Gaisbergen	Wachturm	Wachturm	48.065278	16.789083
Kleinkastell Höflein	Wachturm	Kleinkastell	48.065278	16.789083
Wachturm Devin	Wachturm	Wachturm ?	48.154722	17.145556
Burgus Gerulata 1 (Rajka)	Wachturm	Wachturm ?	47.998142	17.197806
Burgus Gerulata 2	Wachturm	Wachturm ?	47.962694	17.216397
Burgus Gerulata 3	Wachturm	Wachturm	47.956139	17.214475
Burgus Gerulata 4 (Bezenye-Flur Büsdöskut)	Wachturm	Wachturm	47.938553	17.190275
