name	lat	long
Deva Victrix	53.191503	-2.892886
Ardotalia	53.4525	-1.988056
Lunt Roman Fort I	52.37	-1.49
Lunt Roman Fort II	52.37	-1.49
Lunt Roman Fort III	52.37	-1.49
Lunt Roman Fort IV	52.37	-1.49
Isca Silurum	51.610647	-2.955386
Kastell Segontium	53.137222	-4.265833
Kleinkastell Hen Waliau	53.137778	-4.269167
Gobannium	51.82200	-3.01800
Kastell Beulah	51.82200	-3.01800
Kastell Brecon Y Gaer	51.9565	-3.451736
Kleinkastell Brithdir	52.753333	-3.820972
Kleinkastell Bryn Glas	53.147278	-4.238944
Kastell Bryn Y Gefeiliau	53.0975	-3.874583
Kleinkastell Cae Gaer	52.422375	-3.731542
Kastell Caer Gai	52.869028	-3.668889
Kleinkastell Caer Gybi	53.311667	-4.6325
Kastell Caerhun (Canovium)	53.216181	-3.834167
Kastell Caerphilly	51.577569	-3.222431
Kastell Caerau	52.139167	-3.573889
Kastell Caersws I	52.521389	-3.4225
Kastell Caersws II	52.516944	-3.432083
Venta Silurum	51.611389	-2.768194
Kastell Cardiff A	51.482222	-3.181111
Kastell Cardiff B	51.482222	-3.181111
Kastell Cardiff C	51.482222	-3.181111
Kastell Cardiff D	51.482222	-3.181111
Kastell Carmarthen	51.856944	-4.303333
Kastell Carmarthen	51.856944	-4.303333
