point	title	description	iconSize	iconOffset	icon
55.5986111111,-2.72222222222	<a href="http://en.wikipedia.org/wiki/Trimontium (Newstead)" target="pedia">Trimontium (Newstead)</a>	<div style="max-width: 250px;">Geo 55.5986111111, -2.72222222222<br><br>Provinz Britannia<br><br>trajanisch</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0044305556,-1.43106944444	<a href="http://en.wikipedia.org/wiki/Coria (Corbridge)" target="pedia">Coria (Corbridge)</a>	<div style="max-width: 250px;">Geo 55.0044305556, -1.43106944444<br>Kohortenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0034027778,-2.19194444444	<a href="http://kein Artikel/wiki/Kastell Sidgate" target="pedia">Kastell Sidgate</a>	<div style="max-width: 250px;">Geo 55.0034027778, -2.19194444444<br>Vexillations- oder Auxiliarkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.02865,-2.28773888889	<a href="http://kein Artikel/wiki/Meilenkastell 34" target="pedia">Meilenkastell 34</a>	<div style="max-width: 250px;">Geo 55.02865, -2.28773888889<br>Meilenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0280833333,-2.29445	<a href="http://kein Artikel/wiki/Turret 34A" target="pedia">Turret 34A</a>	<div style="max-width: 250px;">Geo 55.0280833333, -2.29445<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0267333333,-2.30023888889	<a href="http://kein Artikel/wiki/Turret 34B" target="pedia">Turret 34B</a>	<div style="max-width: 250px;">Geo 55.0267333333, -2.30023888889<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0257638889,-2.30656944444	<a href="http://kein Artikel/wiki/Meilenkastell 35" target="pedia">Meilenkastell 35</a>	<div style="max-width: 250px;">Geo 55.0257638889, -2.30656944444<br>Meilenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0248194444,-2.31313333333	<a href="http://kein Artikel/wiki/Turret 35A" target="pedia">Turret 35A</a>	<div style="max-width: 250px;">Geo 55.0248194444, -2.31313333333<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.02175,-2.31584166667	<a href="http://kein Artikel/wiki/Turret 35B" target="pedia">Turret 35B</a>	<div style="max-width: 250px;">Geo 55.02175, -2.31584166667<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0145972222,-2.32863888889	<a href="http://kein Artikel/wiki/Knag Burn Gate" target="pedia">Knag Burn Gate</a>	<div style="max-width: 250px;">Geo 55.0145972222, -2.32863888889<br>Limestor<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0178611111,-2.31850833333	<a href="http://kein Artikel/wiki/Meilenkastell 36" target="pedia">Meilenkastell 36</a>	<div style="max-width: 250px;">Geo 55.0178611111, -2.31850833333<br>Meilenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0164777778,-2.325025	<a href="http://kein Artikel/wiki/Turret 36A" target="pedia">Turret 36A</a>	<div style="max-width: 250px;">Geo 55.0164777778, -2.325025<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0137888889,-2.33096666667	<a href="http://kein Artikel/wiki/Turret 36B" target="pedia">Turret 36B</a>	<div style="max-width: 250px;">Geo 55.0137888889, -2.33096666667<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0133055556,-2.33019444444	<a href="http://en.wikipedia.org/wiki/Housesteads Roman Fort" target="pedia">Housesteads Roman Fort</a>	<div style="max-width: 250px;">Geo 55.0133055556, -2.33019444444<br>Kohortenkastell, Numeruskastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0123055556,-2.337625	<a href="http://kein Artikel/wiki/Meilenkastell 37" target="pedia">Meilenkastell 37</a>	<div style="max-width: 250px;">Geo 55.0123055556, -2.337625<br>Meilenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0116083333,-2.34469166667	<a href="http://kein Artikel/wiki/Turret 37A" target="pedia">Turret 37A</a>	<div style="max-width: 250px;">Geo 55.0116083333, -2.34469166667<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0103277778,-2.35202777778	<a href="http://kein Artikel/wiki/Turret 37B" target="pedia">Turret 37B</a>	<div style="max-width: 250px;">Geo 55.0103277778, -2.35202777778<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0071944444,-2.35676388889	<a href="http://Kein Artikel/wiki/Meilenkastell 38" target="pedia">Meilenkastell 38</a>	<div style="max-width: 250px;">Geo 55.0071944444, -2.35676388889<br>Meilenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0053527778,-2.36308611111	<a href="http://Kein Artikel/wiki/Turret 38A" target="pedia">Turret 38A</a>	<div style="max-width: 250px;">Geo 55.0053527778, -2.36308611111<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.004675,-2.370725	<a href="http://Kein Artikel/wiki/Turret 38B" target="pedia">Turret 38B</a>	<div style="max-width: 250px;">Geo 55.004675, -2.370725<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.9913888889,-2.36027777778	<a href="http://de.wikipedia.org/wiki/Kastell Vindolanda" target="pedia">Kastell Vindolanda</a>	<div style="max-width: 250px;">Geo 54.9913888889, -2.36027777778<br>Auxiliarkastell<br>Provinz Britannia<br>Hadrianswall<br>I-BOX FEHLT!</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0036111111,-2.37576388889	<a href="http://Kein Artikel/wiki/Meilenkastell 39" target="pedia">Meilenkastell 39</a>	<div style="max-width: 250px;">Geo 55.0036111111, -2.37576388889<br>Meilenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0026805556,-2.38253611111	<a href="http://Kein Artikel/wiki/Turret 39A" target="pedia">Turret 39A</a>	<div style="max-width: 250px;">Geo 55.0026805556, -2.38253611111<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0022083333,-2.39150833333	<a href="http://Kein Artikel/wiki/Turret 39B" target="pedia">Turret 39B</a>	<div style="max-width: 250px;">Geo 55.0022083333, -2.39150833333<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0020833333,-2.39909722222	<a href="http://Kein Artikel/wiki/Meilenkastell 40" target="pedia">Meilenkastell 40</a>	<div style="max-width: 250px;">Geo 55.0020833333, -2.39909722222<br>Meilenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.9989861111,-2.41539444444	<a href="http://Kein Artikel/wiki/Turret 40B" target="pedia">Turret 40B</a>	<div style="max-width: 250px;">Geo 54.9989861111, -2.41539444444<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.9974305556,-2.42280555556	<a href="http://Kein Artikel/wiki/Meilenkastell 41" target="pedia">Meilenkastell 41</a>	<div style="max-width: 250px;">Geo 54.9974305556, -2.42280555556<br>Meilenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.9958083333,-2.43046388889	<a href="http://Kein Artikel/wiki/Turret 41A" target="pedia">Turret 41A</a>	<div style="max-width: 250px;">Geo 54.9958083333, -2.43046388889<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.9953111111,-2.43833333333	<a href="http://Kein Artikel/wiki/Turret 41B" target="pedia">Turret 41B</a>	<div style="max-width: 250px;">Geo 54.9953111111, -2.43833333333<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.9890555556,-2.44763888889	<a href="http://Kein Artikel/wiki/Kleinkastell Haltwhistle Burn" target="pedia">Kleinkastell Haltwhistle Burn</a>	<div style="max-width: 250px;">Geo 54.9890555556, -2.44763888889<br>Kleinkastell<br>Provinz Britannia<br>Hadrianswall / Stanegate<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.9939583333,-2.44579166667	<a href="http://Kein Artikel/wiki/Meilenkastell 42" target="pedia">Meilenkastell 42</a>	<div style="max-width: 250px;">Geo 54.9939583333, -2.44579166667<br>Meilenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.99325,-2.44950555556	<a href="http://Kein Artikel/wiki/Turret 42A" target="pedia">Turret 42A</a>	<div style="max-width: 250px;">Geo 54.99325, -2.44950555556<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.99515,-2.45724444444	<a href="http://Kein Artikel/wiki/Turret 42B" target="pedia">Turret 42B</a>	<div style="max-width: 250px;">Geo 54.99515, -2.45724444444<br>Wachturm<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.9853333333,-2.52123611111	<a href="http://Kein Artikel/wiki/Kastell Magnis" target="pedia">Kastell Magnis</a>	<div style="max-width: 250px;">Geo 54.9853333333, -2.52123611111<br><br>Provinz Britannia<br>Hadrianswall / Stanegate<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
